Base;Algo;K;ISM;ICH;Rand;ICS
AGGREGATION;BFESGA;6;0.0549505598613103;275.82556608951;0.349665319845413;45.3423223350254
COMPOUND;BFESGA;5;0.320202195821093;394.895832864566;0.631957453793689;54.7255639097744
GLASS;BFESGA;3;0.340683452190226;248.727942380607;0.528043718397602;113.414965986395
ECOLI;BFESGA;3;0.220932663681025;94.80242877035;0.247317877400185;8.44761904761905
FLAME;BFESGA;4;0.416181766533967;77.7700134349886;0.161248995920229;89.5607476635514
HABERMAN;BFESGA;3;0.17989314779846;81.6287529147338;0.0674041774254512;100.219421101774
IRIS;BFESGA;5;0.152987900516761;27.6298620146427;0.0662098894547018;56.985754985755
IONOSPHERE;BFESGA;6;0.301595609832978;172.134135354753;0.417966959790108;14.8714285714286
JAIN;BFESGA;7;0.406439253789483;442.009253925123;0.247128857406957;22.6350057449253
NEW-THYROID;BFESGA;4;0.538034484842244;106.957922839316;0.634546019300249;131.111205073996
PATHBASED;BFESGA;7;0.311672187171212;188.442743369435;0.370641131645062;23.1828571428571
PIMA.INDIANS;BFESGA;6;0.140084576025969;92.2649233841981;0.120250313954501;121.491071428571
R15;BFESGA;9;0.505811815542615;501.976531510334;0.26288699991953;100.53125
SEEDS;BFESGA;5;0.0877379723923514;51.886965263615;0.353858298589234;10.2952380952381
SPIRAL;BFESGA;11;0.292268045415532;202.80202713951;0.0858052282553016;5.10489510489511
WDBC;BFESGA;5;0.14994092390948;79.0639763567207;0.159821308583863;286.732613607833
WINE;BFESGA;4;0.11984661866881;60.647202825515;0.447682456817475;11.4911717495987
YEAST;ESGBRKGA;6;0.112569487895439;105.990383673888;0.0881969925209666;441.671495956873
