Base;Algo;K;ISM;ICH;ICS
200DATA;BFESGA;5;0.570913874442942;971.813549807841;34.7942857142857
400P3C;BFESGA;5;0.463492563206353;2355.68881348038;94.546875
A1;ESGBRKGA;8;0.261363927394257;1760.69262534505;120.837714285714
BANKNOTE;ESGBRKGA;8;0.183756346205771;480.354625661248;148.782590587255
BREASTB;BFESGA;2;0.0732242855091168;4.36311825143128;15.2536443148688
CHART;BFESGA;6;0.0226596290789401;22.4867231900459;107.030476190476
CONCRETEDATA;ESGBRKGA;9;0.116127145440478;109.344143802039;99.5857016769638
DBLCA;BFESGA;5;0.0522270672795768;8.19681546924299;11.6109422492401
DBLCB;BFESGA;4;0.0425291350999993;42.2109003952522;16.5375
DOWJONES;BFESGA;6;0.376880234875698;1133.08653318422;209.077714285714
FACE;BFESGA;10;0.255089076672884;202.895075997531;8.01719901719902
GAMMA400;BFESGA;4;0.313272368638787;174.863536683019;177.011428571429
HAYES-ROTH;BFESGA;4;0.0319125205586725;10.5137914856707;11.8658008658009
INDIAN;BFESGA;4;0.171724441034393;482.462805817425;281.866590432628
INDOCHINACOMBAT;BFESGA;2;0.362163007052827;37.279959188602;18.8095238095238
MARONNA;BFESGA;6;0.393475046715193;286.33674186537;16.5475
NORMAL300;BFESGA;6;0.294543601105227;161.564725731213;55.64
NUMBERS2;BFESGA;8;0.272748233471984;303.0919065161;37.5566137566138
OUTLIERS;BFESGA;1;;;82.1919302071974
PARKINSONS;BFESGA;4;0.0354701761542186;14.2967120562771;42.8967032967033
RUSPINI;BFESGA;4;0.798926132904474;489.523727295298;6.30222222222222
SONAR;BFESGA;4;0.0830901397841173;14.3458636034718;22.5274725274725
SPHERICAL4D3C;BFESGA;6;0.470090528272703;2573.6740803904;17.0638461538462
SPRDESP;BFESGA;5;0.238563640048223;284.044381616751;245.070210409745
SYNTHETICCONTROL;BFESGA;6;0.0495573247788345;24.4621147999718;78.18875
TRIPADVISOR;BFESGA;8;0.0619115017926701;66.5751137578445;163.916836734694
UNIFORM400;BFESGA;7;0.122028147590169;187.52204334442;17.11875
WAVEFORM21;ESGBRKGA;13;0.0105760249014252;385.586297881172;283.131142857143
2-FACE;BFESGA;5;0.340614666477673;177.976148377807;29.11375
BROKEN-RING;BFESGA;16;0.048178915073399;167.456067512782;16.99675
BUPA;BFESGA;4;0.202255074425528;49.2605231905041;108.054658385093
FORESTFIRES;BFESGA;5;0.15199107131971;65.9045927401758;184.381320806853
GAUSS9;BFESGA;7;0.147175002981477;411.035227672604;42.175
UNIFORM700;BFESGA;6;-0.0793994477050936;74.3263240477879;34.6296428571429
VOWEL2;BFESGA;8;0.23443278782528;250.640742128162;34.0606060606061
